station_id,station_name,latitude,longitude,aqi
site_1419,"Ward-32 Bapupara, Siliguri - WBPCB",26.6883049,88.412668,109.0
site_293,"Alandur Bus Depot, Chennai - CPCB",12.9099161,80.1076538,
site_198,"More Chowk Waluj, Aurangabad - MPCB",19.8389439,75.244448,97.0
site_306,"Manali, Chennai - CPCB",13.164544,80.26285,47.0
site_1421,"Dr. Karni Singh Shooting Range, Delhi - DPCC",28.4997315,77.2649067,175.0
site_1435,"Vivek Vihar, Delhi - DPCC",28.6687803,77.3130982,157.0
site_1420,"Ashok Vihar, Delhi - DPCC",28.6957202,77.1812947,167.0
site_1432,"Sonia Vihar, Delhi - DPCC",28.67795,77.29868,137.0
site_1423,"Jahangirpuri, Delhi - DPCC",28.7258373,77.1605631,169.0
site_1430,"Rohini, Delhi - DPCC",28.7407056,77.0577492,52.0
site_1427,"Najafgarh, Delhi - DPCC",28.5108561,76.7093948,172.0
site_1449,KSPCB UDUPI,13.335832,74.7889757,77.0
site_118,"DTU, New Delhi - CPCB",28.7500499,77.1112615,140.0
site_273,"Ardhali Bazar, Varanasi - UPPCB",25.3505986,82.9083074,162.0
site_161,"Sector-6, Panchkula - HSPCB ",30.7057778,76.8531805555555,
site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",17.540891,78.358528,88.0
site_256,"Golden Temple, Amritsar - PPCB",31.62,74.876512,92.0
site_304,"Gangapur Road, Nashik - MPCB",20.0073285,73.7762427,68.0
site_296,"Rabindra Bharati University, Kolkata - WBPCB",22.5824635,88.3572447,
site_300,"Haldia, Haldia - WBPCB",22.06047,88.109737,58.0
site_1402,"Sector-2 Industrial Area, Pithampur - MPPCB",22.624758,75.675238,138.0
site_1397,"Ashok Nagar, Udaipur - RSPCB",24.5886166,73.6321397,129.0
site_1403,"Sector-D Industrial Area, Mandideep - MPPCB",23.108440,77.511428,145.0
site_305,"Pimpleshwar Mandir, Thane - MPCB",19.192056,72.9585188,135.0
site_165,"City Railway Station, Bengaluru - KSPCB",12.9756843,77.5660749,118.0
site_124,"R K Puram, New Delhi - DPCC",28.5646102,77.1670103,254.0
site_122,"Mandir Marg, New Delhi - DPCC",28.6372688,77.2005604,174.0
site_119,"Sirifort, New Delhi - CPCB",28.5504249,77.2159377,263.0
site_104,"Burari Crossing, New Delhi - IMD",28.7256504,77.2011573,
site_108,"Aya Nagar, New Delhi - IMD",28.4706914,77.1099364,
site_1418,"Asanol Court Area, Asanol - WBPCB",23.685297,86.945968,126.0
site_1437,"Model Town, Patiala - PPCB",30.349388,76.366642,90.0
site_261,"Airoli, Navi Mumbai - MPCB",19.1494,72.9986,98.0
site_297,"Talkatora District Industries Center, Lucknow - CPCB",26.83399722,80.8917361,244.0
site_1425,"Major Dhyan Chand National Stadium, Delhi - DPCC",28.6125027,77.2351994,140.0
site_1426,"Narela, Delhi - DPCC",28.8446874,77.0332666,140.0
site_1428,"Okhla Phase-2, Delhi - DPCC",28.5366411,77.2664587,140.0
site_1434,"Wazirpur, Delhi - DPCC",28.701616,77.164238,460.0
site_1448,KSPCB Manglore,12.8879373,74.8500778,
site_309,"Victoria, Kolkata - WBPCB",22.5448082,88.3403691,71.0
site_288,"Velachery Res. Area, Chennai - CPCB",13.0052189,80.2398125,78.0
site_1450,"Kalal Majra, Khanna - PPCB",30.736056 ,76.209694,
